longitude,latitude
101.325,3.1205
101.325,3.1386
101.325,3.1522
101.325,3.1431
101.3251,3.1567
101.325,3.116
101.325,3.1476
101.325,3.1296
101.325,3.125
101.325,3.1341
101.3251,3.1612
101.3251,3.1974
101.3251,3.1657
101.3295,3.1341
101.3251,3.1702
101.3252,3.22
101.3251,3.1793
101.3251,3.1838
101.3252,3.2245
101.3252,3.2109
101.3251,3.1748
101.3251,3.1928
101.3251,3.1883
101.3252,3.229
101.3252,3.2019
101.3298,3.2471
101.3252,3.2064
101.3252,3.2154
101.3296,3.1657
101.3253,3.2606
101.3297,3.2199
101.3252,3.2335
101.3296,3.1747
101.3296,3.1702
101.334,3.125
101.3296,3.1838
101.3296,3.1612
101.3253,3.2516
101.3252,3.2426
101.3253,3.2471
101.3295,3.116
101.3297,3.229
101.3298,3.2606
101.3253,3.2878
101.3298,3.2787
101.3295,3.1205
101.3298,3.2561
101.343,3.1205
101.3296,3.1928
101.3253,3.2697
101.3252,3.238
101.3253,3.2652
101.3296,3.2019
101.3295,3.1431
101.3297,3.2425
101.3295,3.125
101.3295,3.1522
101.3298,3.2877
101.3341,3.1747
101.3297,3.2109
101.3388,3.2651
101.3296,3.1973
101.3253,3.2832
101.3253,3.2742
101.3388,3.2561
101.3297,3.2064
101.3295,3.1386
101.3385,3.1431
101.3343,3.2742
101.3296,3.1793
101.3343,3.2787
101.3387,3.238
101.3432,3.2244
101.3295,3.1567
101.334,3.1295
101.3387,3.229
101.334,3.1205
101.3388,3.2742
101.3342,3.229
101.3298,3.2697
101.3343,3.2697
101.3341,3.1702
101.3295,3.1296
101.3341,3.2019
101.3387,3.2425
101.3297,3.2154
101.3431,3.1928
101.3432,3.2109
101.3342,3.2154
101.3297,3.2245
101.3387,3.2244
101.3341,3.1793
101.3385,3.1205
101.3342,3.2245
101.3388,3.2696
101.3298,3.2832
101.3386,3.1928
101.3298,3.2742
101.334,3.116
101.343,3.134
101.3385,3.1612
101.3384,3.116
101.3253,3.2561
101.3297,3.2335
101.3342,3.2335
101.3385,3.1386
101.3295,3.1476
101.3343,3.2516
101.3388,3.2516
101.343,3.1612
101.3296,3.1883
101.3387,3.2064
101.3385,3.1295
101.3343,3.2877
101.343,3.125
101.3342,3.2471
101.3343,3.2651
101.334,3.1386
101.3342,3.2425
101.3386,3.2018
101.3253,3.2787
101.3385,3.1521
101.3387,3.2199
101.3385,3.1566
101.3388,3.2832
101.3341,3.1883
101.3341,3.1973
101.334,3.1341
101.3431,3.1973
101.334,3.1521
101.3386,3.1792
101.3387,3.247
101.3431,3.2018
101.3476,3.2063
101.3387,3.2154
101.3298,3.2651
101.3388,3.2606
101.3476,3.1747
101.334,3.1476
101.343,3.1566
101.3297,3.238
101.3298,3.2516
101.3341,3.1657
101.3565,3.125
101.3565,3.143
101.3433,3.2606
101.3386,3.1747
101.3432,3.2154
101.3433,3.2516
101.3342,3.2109
101.3341,3.1612
101.3387,3.2109
101.3343,3.2606
101.3475,3.125
101.3478,3.2741
101.3475,3.1431
101.3522,3.2289
101.3385,3.1341
101.334,3.1567
101.3386,3.1883
101.3385,3.1476
101.3522,3.2199
101.3386,3.1657
101.3431,3.1657
101.3478,3.2696
